genetic_evidence,expression_specificity,druggability,novelty,competition,literature_trend,composite_score,tier,gene_id,gene_name,track,is_essential,essential_score,is_novel_target,has_existing_drug,pathway,organism,has_structure,uniprot_id,connections
0.98,0.8,0.45,0.9,0.95,0.8,0.805,Tier 1 - High Priority,AMR_ftsZ_Kleb,ftsZ,amr,True,0.98,True,False,cell_division,Klebsiella pneumoniae,False,A0A3S4IU78,2
0.97,0.8,0.45,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_ftsZ_Acin,ftsZ,amr,True,0.97,True,False,cell_division,Acinetobacter baumannii,False,A0A482KP32,2
0.97,0.8,0.45,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_ftsZ_Ente,ftsZ,amr,True,0.97,True,False,cell_division,Enterobacter cloacae,False,A0AAV3GRU7,4
0.97,0.8,0.45,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_ftsZ_Ente,ftsZ,amr,True,0.97,True,False,cell_division,Enterobacter cloacae,False,A0A377M997,4
0.97,0.8,0.45,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_ftsZ_Ente,ftsZ,amr,True,0.97,True,False,cell_division,Enterobacter cloacae,False,A0AAV3GRU7,4
0.97,0.8,0.45,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_ftsZ_Ente,ftsZ,amr,True,0.97,True,False,cell_division,Enterobacter cloacae,False,A0A377M997,4
0.93,0.8,0.5,0.9,0.95,0.8,0.8025,Tier 1 - High Priority,AMR_murB_Stap,murB,amr,True,0.93,True,False,peptidoglycan_synthesis,Staphylococcus aureus,False,P61431,2
0.92,0.8,0.5,0.9,0.95,0.8,0.8,Tier 1 - High Priority,AMR_murC_Stap,murC,amr,True,0.92,True,False,peptidoglycan_synthesis,Staphylococcus aureus,False,O31211,2
0.96,0.8,0.45,0.9,0.95,0.8,0.8,Tier 1 - High Priority,AMR_walK_Stap,walK,amr,True,0.96,True,False,signal_transduction,Staphylococcus aureus,False,A0A1L6C0D8,2
0.96,0.8,0.45,0.9,0.95,0.8,0.8,Tier 1 - High Priority,AMR_walR_Stap,walR,amr,True,0.96,True,False,signal_transduction,Staphylococcus aureus,False,A0A1L6C155,2
0.91,0.8,0.5,0.9,0.95,0.8,0.7975,Tier 1 - High Priority,AMR_murD_Stap,murD,amr,True,0.91,True,False,peptidoglycan_synthesis,Staphylococcus aureus,False,P0A091,2
0.9,0.8,0.5,0.9,0.95,0.8,0.795,Tier 1 - High Priority,AMR_murE_Stap,murE,amr,True,0.9,True,False,peptidoglycan_synthesis,Staphylococcus aureus,False,A0AAN1ZNV0,2
0.9,0.8,0.5,0.9,0.95,0.8,0.795,Tier 1 - High Priority,AMR_murF_Stap,murF,amr,True,0.9,True,False,peptidoglycan_synthesis,Staphylococcus aureus,False,K7XML5,2
0.88,0.8,0.5,0.9,0.95,0.8,0.79,Tier 1 - High Priority,AMR_fabH_Stap,fabH,amr,True,0.88,True,False,fatty_acid_synthesis,Staphylococcus aureus,False,Q5TKS1,2
0.92,0.8,0.45,0.9,0.95,0.8,0.79,Tier 1 - High Priority,AMR_ftsA_Stap,ftsA,amr,True,0.92,True,False,cell_division,Staphylococcus aureus,False,A0A6G4N246,2
0.87,0.8,0.5,0.9,0.95,0.8,0.7875,Tier 1 - High Priority,AMR_accA_Stap,accA,amr,True,0.87,True,False,fatty_acid_synthesis,Staphylococcus aureus,False,A0A2X2K6W2,2
0.95,0.8,0.4,0.9,0.95,0.8,0.7875,Tier 1 - High Priority,AMR_secY_Stap,secY,amr,True,0.95,True,False,protein_secretion,Staphylococcus aureus,False,A0A380DUL2,2
0.87,0.8,0.5,0.9,0.95,0.8,0.7875,Tier 1 - High Priority,AMR_ispD_Stap,ispD,amr,True,0.87,True,False,isoprenoid_synthesis,Staphylococcus aureus,False,A0A0U1MVX0,2
0.94,0.8,0.4,0.9,0.95,0.8,0.785,Tier 1 - High Priority,AMR_secA_Stap,secA,amr,True,0.94,True,False,protein_secretion,Staphylococcus aureus,False,A0A380DZT4,2
0.9,0.8,0.45,0.9,0.95,0.8,0.785,Tier 1 - High Priority,AMR_ftsW_Stap,ftsW,amr,True,0.9,True,False,cell_division,Staphylococcus aureus,False,A0A380E0F5,2
0.94,0.8,0.4,0.9,0.95,0.8,0.785,Tier 1 - High Priority,AMR_secA_Pseu,secA,amr,True,0.94,True,False,protein_secretion,Pseudomonas aeruginosa,False,A0A0C6F116,2
0.99,0.8,0.2,0.9,0.95,0.8,0.7575,Tier 1 - High Priority,AMR_rpoC_Stap,rpoC,amr,True,0.99,True,False,transcription,Staphylococcus aureus,False,P95688,2
0.97,0.8,0.2,0.9,0.95,0.8,0.7525,Tier 1 - High Priority,AMR_dnaA_Stap,dnaA,amr,True,0.97,True,False,dna_replication,Staphylococcus aureus,False,P68867,2
0.97,0.8,0.2,0.9,0.95,0.8,0.7525,Tier 1 - High Priority,AMR_dnaE_Stap,dnaE,amr,True,0.97,True,False,dna_replication,Staphylococcus aureus,False,A0AAJ4YVG6,2
0.97,0.8,0.2,0.9,0.95,0.8,0.7525,Tier 1 - High Priority,AMR_dnaA_Pseu,dnaA,amr,True,0.97,True,False,dna_replication,Pseudomonas aeruginosa,False,A0ABD7KA18,2
0.96,0.8,0.2,0.9,0.95,0.8,0.75,Tier 1 - High Priority,AMR_dnaA_Acin,dnaA,amr,True,0.96,True,False,dna_replication,Acinetobacter baumannii,False,A0A3R9RY11,2
0.96,0.8,0.2,0.9,0.95,0.8,0.75,Tier 1 - High Priority,AMR_dnaA_Ente,dnaA,amr,True,0.96,True,False,dna_replication,Enterococcus faecium,False,A0A829F6Y4,2
0.96,0.8,0.2,0.9,0.95,0.8,0.75,Tier 1 - High Priority,AMR_dnaB_Stap,dnaB,amr,True,0.96,True,False,dna_replication,Staphylococcus aureus,False,A0AB37XUJ3,2
0.95,0.8,0.2,0.9,0.95,0.8,0.7475,Tier 1 - High Priority,AMR_infB_Stap,infB,amr,True,0.95,True,False,translation,Staphylococcus aureus,False,A0A2X2JX14,2
0.95,0.8,0.2,0.9,0.95,0.8,0.7475,Tier 1 - High Priority,AMR_dnaN_Stap,dnaN,amr,True,0.95,True,False,dna_replication,Staphylococcus aureus,False,P0A024,2
0.94,0.8,0.2,0.9,0.95,0.8,0.745,Tier 1 - High Priority,AMR_infA_Stap,infA,amr,True,0.94,True,False,translation,Staphylococcus aureus,False,A0A6B0CP17,2
0.94,0.8,0.2,0.9,0.95,0.8,0.745,Tier 1 - High Priority,AMR_lptD_Pseu,lptD,amr,True,0.94,True,False,lps_transport,Pseudomonas aeruginosa,False,A0A643J0Z4,2
0.93,0.8,0.2,0.9,0.95,0.8,0.7425,Tier 1 - High Priority,AMR_lptD_Kleb,lptD,amr,True,0.93,True,False,lps_transport,Klebsiella pneumoniae,False,A0A377TML7,2
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Acin,gyrA,amr,True,0.98,False,True,dna_topology,Acinetobacter baumannii,False,X5CLP4,5
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Kleb,gyrA,amr,True,0.98,False,True,dna_topology,Klebsiella pneumoniae,False,A0A160DSH6,5
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Stap,gyrA,amr,True,0.98,False,True,dna_topology,Staphylococcus aureus,False,P20831,5
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Ente,gyrA,amr,True,0.98,False,True,dna_topology,Enterobacter cloacae,False,Q9F5X0,7
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Ente,gyrA,amr,True,0.98,False,True,dna_topology,Enterobacter cloacae,False,O69048,7
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Pseu,gyrA,amr,True,0.98,False,True,dna_topology,Pseudomonas aeruginosa,False,A0A089VME6,5
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Ente,gyrA,amr,True,0.98,False,True,dna_topology,Enterobacter cloacae,False,Q9F5X0,7
0.98,0.8,0.5,0.2,0.2,0.5,0.605,Tier 2 - Promising,AMR_gyrA_Ente,gyrA,amr,True,0.98,False,True,dna_topology,Enterobacter cloacae,False,O69048,7
0.97,0.8,0.5,0.2,0.2,0.5,0.6025,Tier 2 - Promising,AMR_gyrB_Stap,gyrB,amr,True,0.97,False,True,dna_topology,Staphylococcus aureus,False,A0A222UAJ8,4
0.97,0.8,0.5,0.2,0.2,0.5,0.6025,Tier 2 - Promising,AMR_gyrB_Pseu,gyrB,amr,True,0.97,False,True,dna_topology,Pseudomonas aeruginosa,False,A0A223FPW4,4
0.96,0.8,0.5,0.2,0.2,0.5,0.6,Tier 2 - Promising,AMR_gyrB_Ente,gyrB,amr,True,0.96,False,True,dna_topology,Enterococcus faecium,False,C3RSA9,4
0.95,0.8,0.5,0.2,0.2,0.5,0.5975,Tier 2 - Promising,AMR_murA_Kleb,murA,amr,True,0.95,False,True,peptidoglycan_synthesis,Klebsiella pneumoniae,False,A0A1S5RKE3,3
0.95,0.8,0.5,0.2,0.2,0.5,0.5975,Tier 2 - Promising,AMR_murA_Stap,murA,amr,True,0.95,False,True,peptidoglycan_synthesis,Staphylococcus aureus,False,A0A2L0P0N5,3
0.95,0.8,0.5,0.2,0.2,0.5,0.5975,Tier 2 - Promising,AMR_parC_Pseu,parC,amr,True,0.95,False,True,dna_topology,Pseudomonas aeruginosa,False,A0A089VLC7,3
0.95,0.8,0.5,0.2,0.2,0.5,0.5975,Tier 2 - Promising,AMR_murA_Pseu,murA,amr,True,0.95,False,True,peptidoglycan_synthesis,Pseudomonas aeruginosa,False,A0A643IY33,3
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_murA_Ente,murA,amr,True,0.94,False,True,peptidoglycan_synthesis,Enterobacter cloacae,False,A0A7T3UX14,5
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_murA_Ente,murA,amr,True,0.94,False,True,peptidoglycan_synthesis,Enterobacter cloacae,False,A0A377LSA5,5
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_murA_Ente,murA,amr,True,0.94,False,True,peptidoglycan_synthesis,Enterobacter cloacae,False,A0A7T3UX14,5
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_murA_Ente,murA,amr,True,0.94,False,True,peptidoglycan_synthesis,Enterobacter cloacae,False,A0A377LSA5,5
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_murA_Acin,murA,amr,True,0.94,False,True,peptidoglycan_synthesis,Acinetobacter baumannii,False,A0A6F8TKP1,3
0.94,0.8,0.5,0.2,0.2,0.5,0.595,Tier 2 - Promising,AMR_parE_Pseu,parE,amr,True,0.94,False,True,dna_topology,Pseudomonas aeruginosa,False,I6UGE4,3
0.93,0.8,0.5,0.2,0.2,0.5,0.5925,Tier 2 - Promising,AMR_fabI_Stap,fabI,amr,True,0.93,False,True,fatty_acid_synthesis,Staphylococcus aureus,False,G3G9A5,4
0.92,0.8,0.5,0.2,0.2,0.5,0.59,Tier 2 - Promising,AMR_folA_Stap,folA,amr,True,0.92,False,True,folate_synthesis,Staphylococcus aureus,False,P0A017,3
0.91,0.8,0.5,0.2,0.2,0.5,0.5875,Tier 2 - Promising,AMR_fabI_Pseu,fabI,amr,True,0.91,False,True,fatty_acid_synthesis,Pseudomonas aeruginosa,False,A0A5E5QU99,4
0.91,0.8,0.5,0.2,0.2,0.5,0.5875,Tier 2 - Promising,AMR_folA_Kleb,folA,amr,True,0.91,False,True,folate_synthesis,Klebsiella pneumoniae,False,A0A858C9F1,3
0.9,0.8,0.5,0.2,0.2,0.5,0.585,Tier 2 - Promising,AMR_folA_Pseu,folA,amr,True,0.9,False,True,folate_synthesis,Pseudomonas aeruginosa,False,A0A2R4KRQ2,3
0.9,0.8,0.5,0.2,0.2,0.5,0.585,Tier 2 - Promising,AMR_folP_Stap,folP,amr,True,0.9,False,True,folate_synthesis,Staphylococcus aureus,False,A0A8F2Z1A9,3
0.9,0.8,0.5,0.2,0.2,0.5,0.585,Tier 2 - Promising,AMR_fabI_Ente,fabI,amr,True,0.9,False,True,fatty_acid_synthesis,Enterococcus faecium,False,A0A9X1GBX3,4
0.89,0.8,0.5,0.2,0.2,0.5,0.5825,Tier 2 - Promising,AMR_dxr_Stap,dxr,amr,True,0.89,False,True,isoprenoid_synthesis,Staphylococcus aureus,False,,2
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Pseu,rpoB,amr,True,0.99,False,True,transcription,Pseudomonas aeruginosa,False,G3M0Q8,3
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Stap,rpoB,amr,True,0.99,False,True,transcription,Staphylococcus aureus,False,A0A0N9LFB6,3
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Kleb,rpoB,amr,True,0.99,False,True,transcription,Klebsiella pneumoniae,False,A0A161HU07,3
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Ente,rpoB,amr,True,0.99,False,True,transcription,Enterobacter cloacae,False,A0A482JL52,5
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Ente,rpoB,amr,True,0.99,False,True,transcription,Enterobacter cloacae,False,A0A4Y5UGY1,5
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Ente,rpoB,amr,True,0.99,False,True,transcription,Enterobacter cloacae,False,A0A482JL52,5
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Ente,rpoB,amr,True,0.99,False,True,transcription,Enterobacter cloacae,False,A0A4Y5UGY1,5
0.99,0.8,0.2,0.2,0.2,0.5,0.5475,Tier 2 - Promising,AMR_rpoB_Acin,rpoB,amr,True,0.99,False,True,transcription,Acinetobacter baumannii,False,A0A060GUH1,3
0.6003711615915147,0.3,0.2,0.7,0.7,0.5,0.4751,Tier 3 - Exploratory,HS_FKBP1A,FKBP1A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5959520284928246,0.3,0.2,0.7,0.7,0.5,0.474,Tier 3 - Exploratory,HS_SCN8A,SCN8A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5928285654153851,0.3,0.2,0.7,0.7,0.5,0.4732,Tier 3 - Exploratory,HS_SCN11A,SCN11A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5920204740658003,0.3,0.2,0.7,0.7,0.5,0.473,Tier 3 - Exploratory,HS_SCN10A,SCN10A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5907779105272388,0.3,0.2,0.7,0.7,0.5,0.4727,Tier 3 - Exploratory,HS_SCN7A,SCN7A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5908655370199106,0.3,0.2,0.7,0.7,0.5,0.4727,Tier 3 - Exploratory,HS_SCN5A,SCN5A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5902607779393171,0.3,0.2,0.7,0.7,0.5,0.4726,Tier 3 - Exploratory,HS_ADRA1A,ADRA1A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5905931205998964,0.3,0.2,0.7,0.7,0.5,0.4726,Tier 3 - Exploratory,HS_SCN9A,SCN9A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5900387508178694,0.3,0.2,0.7,0.7,0.5,0.4725,Tier 3 - Exploratory,HS_SCN4A,SCN4A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5900387508178694,0.3,0.2,0.7,0.7,0.5,0.4725,Tier 3 - Exploratory,HS_SCN2A,SCN2A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5900387508178694,0.3,0.2,0.7,0.7,0.5,0.4725,Tier 3 - Exploratory,HS_SCN1A,SCN1A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5900387508178694,0.3,0.2,0.7,0.7,0.5,0.4725,Tier 3 - Exploratory,HS_SCN3A,SCN3A,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5889858301017256,0.3,0.2,0.7,0.7,0.5,0.4722,Tier 3 - Exploratory,HS_ADRA1B,ADRA1B,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5889858301017256,0.3,0.2,0.7,0.7,0.5,0.4722,Tier 3 - Exploratory,HS_ADRA1D,ADRA1D,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5807660453712841,0.3,0.2,0.7,0.7,0.5,0.4702,Tier 3 - Exploratory,HS_TRPM8,TRPM8,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.573990014479935,0.3,0.2,0.7,0.7,0.5,0.4685,Tier 3 - Exploratory,HS_OPRK1,OPRK1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5566140944063063,0.3,0.2,0.7,0.7,0.5,0.4642,Tier 3 - Exploratory,HS_SLC10A2,SLC10A2,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5553863119539271,0.3,0.2,0.7,0.7,0.5,0.4638,Tier 3 - Exploratory,HS_JAK3,JAK3,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5446383229255105,0.3,0.2,0.7,0.7,0.5,0.4612,Tier 3 - Exploratory,HS_TNFSF4,TNFSF4,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5407131404427233,0.3,0.2,0.7,0.7,0.5,0.4602,Tier 3 - Exploratory,HS_IL7R,IL7R,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5404885566151909,0.3,0.2,0.7,0.7,0.5,0.4601,Tier 3 - Exploratory,HS_IL6R,IL6R,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5241642203028327,0.3,0.2,0.7,0.7,0.5,0.456,Tier 3 - Exploratory,HS_DOK2,DOK2,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5162055851932771,0.3,0.2,0.7,0.7,0.5,0.4541,Tier 3 - Exploratory,HS_TESPA1,TESPA1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5095424431925857,0.3,0.2,0.7,0.7,0.5,0.4524,Tier 3 - Exploratory,HS_CYP24A1,CYP24A1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5076783238282127,0.3,0.2,0.7,0.7,0.5,0.4519,Tier 3 - Exploratory,HS_PRKCQ,PRKCQ,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.5030392466541774,0.3,0.2,0.7,0.7,0.5,0.4508,Tier 3 - Exploratory,HS_NR3C1,NR3C1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4936785423942707,0.3,0.2,0.7,0.7,0.5,0.4484,Tier 3 - Exploratory,HS_NLRP10,NLRP10,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4894325409185622,0.3,0.2,0.7,0.7,0.5,0.4474,Tier 3 - Exploratory,HS_TAGAP,TAGAP,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4846809075121779,0.3,0.2,0.7,0.7,0.5,0.4462,Tier 3 - Exploratory,HS_BACH2,BACH2,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.0,0.9,0.2,0.7,0.7,0.5,0.445,Tier 3 - Exploratory,LLM_FTSZ,FTSZ,both,False,0.0,False,False,,,False,,32
0.0,0.9,0.2,0.7,0.7,0.5,0.445,Tier 3 - Exploratory,LLM_LPXC,LPXC,both,False,0.0,False,False,,,False,,18
0.0,0.9,0.2,0.7,0.7,0.5,0.445,Tier 3 - Exploratory,LLM_NAN,NAN,both,False,0.0,False,False,,,False,,53
0.4801426081170028,0.3,0.2,0.7,0.7,0.5,0.445,Tier 3 - Exploratory,HS_MMP12,MMP12,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4773878667354836,0.3,0.2,0.7,0.7,0.5,0.4443,Tier 3 - Exploratory,HS_SERPINB7,SERPINB7,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4761259000687214,0.3,0.2,0.7,0.7,0.5,0.444,Tier 3 - Exploratory,HS_CSF2RB,CSF2RB,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4760022794276864,0.3,0.2,0.7,0.7,0.5,0.444,Tier 3 - Exploratory,HS_IL18R1,IL18R1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.475572908841092,0.3,0.2,0.7,0.7,0.5,0.4439,Tier 3 - Exploratory,HS_SATB1,SATB1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4688392192778353,0.3,0.2,0.7,0.7,0.5,0.4422,Tier 3 - Exploratory,HS_TRAF3,TRAF3,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4688288528882793,0.3,0.2,0.7,0.7,0.5,0.4422,Tier 3 - Exploratory,HS_ZNF652,ZNF652,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4679358685720723,0.3,0.2,0.7,0.7,0.5,0.442,Tier 3 - Exploratory,HS_NFILZ,NFILZ,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4658333419945458,0.3,0.2,0.7,0.7,0.5,0.4415,Tier 3 - Exploratory,HS_PRR5L,PRR5L,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4651051232282808,0.3,0.2,0.7,0.7,0.5,0.4413,Tier 3 - Exploratory,HS_BLTP1,BLTP1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4642398387365107,0.3,0.2,0.7,0.7,0.5,0.4411,Tier 3 - Exploratory,HS_CCDC80,CCDC80,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4635976128950586,0.3,0.2,0.7,0.7,0.5,0.4409,Tier 3 - Exploratory,HS_IL1RL1,IL1RL1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4634235407867653,0.3,0.2,0.7,0.7,0.5,0.4409,Tier 3 - Exploratory,HS_CREB5,CREB5,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4599654937760627,0.3,0.2,0.7,0.7,0.5,0.44,Tier 3 - Exploratory,HS_IL18RAP,IL18RAP,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4483787052417165,0.3,0.2,0.7,0.7,0.5,0.4371,Tier 3 - Exploratory,HS_FOXP1,FOXP1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4429595895279813,0.3,0.2,0.7,0.7,0.5,0.4357,Tier 3 - Exploratory,HS_AGO2,AGO2,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4425352029022024,0.3,0.2,0.7,0.7,0.5,0.4356,Tier 3 - Exploratory,HS_RUNX3,RUNX3,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4423391265734396,0.3,0.2,0.7,0.7,0.5,0.4356,Tier 3 - Exploratory,HS_ARRDC1,ARRDC1,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4418196653815963,0.3,0.2,0.7,0.7,0.5,0.4355,Tier 3 - Exploratory,HS_ACOXL,ACOXL,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4418828153565547,0.3,0.2,0.7,0.7,0.5,0.4355,Tier 3 - Exploratory,HS_ADO,ADO,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4397225215801863,0.3,0.2,0.7,0.7,0.5,0.4349,Tier 3 - Exploratory,HS_D2HGDH,D2HGDH,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4397805980028899,0.3,0.2,0.7,0.7,0.5,0.4349,Tier 3 - Exploratory,HS_INPP5D,INPP5D,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4388626743655572,0.3,0.2,0.7,0.7,0.5,0.4347,Tier 3 - Exploratory,HS_ZNF217,ZNF217,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
0.4373545662406811,0.3,0.2,0.7,0.7,0.5,0.4343,Tier 3 - Exploratory,HS_HRNR,HRNR,pruritus,False,0.0,False,False,,Homo sapiens,False,,1
