drug	n_gwas_target_genes	approved	genes
EDECESERTIB	1	False	EPHA7
IRAK4 INHIBITOR 4B [PMID: 18474425]	1	False	EPHA7
COMPOUND 7 [WO2012007375]	1	False	EPHA7
COMPOUND 1 [WO2012007375]	1	False	EPHA7
TAKINIB	1	False	EPHA7
ZEARALENONE	1	False	ESR1
ZERANOL	1	False	ESR1
BORIC ACID	1	True	ESR1
DIENESTROL	1	True	ESR1
ENDOXIFEN	1	False	ESR1
DANAZOL	1	True	ESR1
HORMONE THERAPY AGENT	1	False	ESR1
METHYLISOTHIOCYANATE	1	False	ESR1
DIETHYLSTILBESTROL DIPROPIONATE	1	False	ESR1
PROPACHLOR	1	False	ESR1
HYDROXYPROGESTERONE	1	False	ESR1
TESTOSTERONE PROPIONATE	1	True	ESR1
CHEMBL:CHEMBL384441	1	False	ESR1
CLOMIPHENE	1	True	ESR1
ELACESTRANT	1	True	ESR1
SYNTHETIC CONJUGATED ESTROGENS, A	1	False	ESR1
ETHYNODIOL DIACETATE	1	True	ESR1
MEGESTROL ACETATE	1	True	ESR1
SELECTIVE ESTROGEN RECEPTOR MODULATOR TAS-108	1	False	ESR1
ESTRADIOL CYPIONATE	1	True	ESR1
CHEMBL:CHEMBL1091137	1	False	ESR1
ACRYLAMIDE	1	True	ESR1
PROPYLPARABEN	1	True	ESR1
CHEMBL:CHEMBL85826	1	False	ESR1
LETROZOLE	1	True	ESR1
GLYCITEIN	1	False	ESR1
NORELGESTROMIN	1	True	ESR1
DESOGESTREL	1	True	ESR1
VINTAFOLIDE	1	False	ESR1
ORTHOTOLIDINE	1	False	ESR1
POLYESTRADIOL PHOSPHATE	1	True	ESR1
FENRETINIDE	1	True	ESR1
CLOMIPHENE CITRATE	1	True	ESR1
PROPYLPYRAZOLETRIOL	1	False	ESR1
4-NONYLPHENOL	1	False	ESR1
ALACHLOR	1	False	ESR1
TAMOXIFEN CITRATE	1	True	ESR1
CAMPHOR OIL	1	True	ESR1
PALMITATE	1	True	ESR1
GTX-758	1	False	ESR1
BRILANESTRANT	1	False	ESR1
PROGESTERONE	1	True	ESR1
TESTOSTERONE	1	True	ESR1
TRIAMTERENE	1	True	ESR1
PROTOAPIGENONE	1	False	ESR1
CHEMBL:CHEMBL1523215	1	False	ESR1
DAIDZEIN	1	False	ESR1
ALOE-EMODIN	1	False	ESR1
GUTHION	1	False	ESR1
CHLORANIL	1	False	ESR1
GUGGULSTERONE	1	False	ESR1
ACETOCHLOR	1	False	ESR1
IODINE	1	True	ESR1
ALFATRADIOL	1	False	ESR1
ETHYLENEDIAMINE	1	True	ESR1
DOMIPHEN BROMIDE	1	False	ESR1
STANOLONE	1	False	ESR1
CAPTAN	1	False	ESR1
AMI-1	1	False	ESR1
CHEMBL:CHEMBL2071180	1	False	ESR1
NOMEGESTROL ACETATE	1	False	ESR1
CHEMBL:CHEMBL184450	1	False	ESR1
NORGESTIMATE	1	True	ESR1
ALL-TRANS-RETINAL	1	False	ESR1
TRIADIMEFON	1	False	ESR1
CHEMBL:CHEMBL329673	1	False	ESR1
TRIPHENYLSTANNANOL	1	False	ESR1
DOXORUBICIN HYDROCHLORIDE	1	True	ESR1
LEVONORGESTREL	1	True	ESR1
FOSFESTROL	1	False	ESR1
MEDROXYPROGESTERONE	1	True	ESR1
PHENYLMERCURIC ACETATE	1	False	ESR1
CHEMBL:CHEMBL2313444	1	False	ESR1
KAEMPHEROL	1	False	ESR1
ICARITIN	1	False	ESR1
MITOTANE	1	True	ESR1
SELECTIVE ESTROGEN RECEPTOR COVALENT ANTAGONIST H3B-6545	1	False	ESR1
TTC-352	1	False	ESR1
MERCURIC CHLORIDE	1	False	ESR1
4-TRIETHYLGERMYLPHENOL	1	False	ESR1
ETONOGESTREL	1	True	ESR1
ETHINYLESTRADIOL/DROSPIRENONE/PRASTERONE	1	False	ESR1
SELECTIVE ESTROGEN RECEPTOR MODULATOR CC-8490	1	False	ESR1
SULFENTRAZONE	1	False	ESR1
ENCLOMIPHENE	1	False	ESR1
CAMIZESTRANT	1	False	ESR1
GIREDESTRANT	1	False	ESR1
KEPONE	1	False	ESR1
BENZETHONIUM CHLORIDE	1	True	ESR1
HYDRAMETHYLNON	1	False	ESR1
ESTROPIPATE	1	True	ESR1
METHIOCARB	1	False	ESR1
PHENYLALANINE	1	True	ESR1
ZIRAM	1	False	ESR1
MESTRANOL	1	True	ESR1
ALFADEX	1	False	ESR1
BENZODODECINIUM CHLORIDE	1	True	ESR1
SR16234	1	False	ESR1
OXYMETHOLONE	1	True	ESR1
OCHRATOXIN A	1	False	ESR1
ARSANILIC ACID	1	False	ESR1
OXYTETRACYCLINE HYDROCHLORIDE	1	True	ESR1
LEFLUNOMIDE	1	True	ESR1
AMCENESTRANT	1	False	ESR1
4-METHYLBENZOIC ACID METHYL ESTER	1	False	ESR1
METHYLTESTOSTERONE	1	True	ESR1
13-CIS-RETINAL	1	False	ESR1
VITAMIN A	1	True	ESR1
GLYBURIDE	1	True	ESR1
GESTRINONE	1	False	ESR1
PYROGALLOL	1	True	ESR1
CHOLECALCIFEROL	1	True	ESR1
PROMESTRIENE	1	False	ESR1
1-HYDROXY-6-(4-HYDROXY-PHENYL)-1-PHENYL-HEXAN-3-ONE (ENANTIOMERIC MIX)	1	False	ESR1
CUMENE HYDROPEROXIDE	1	False	ESR1
PYRITHIONE ZINC	1	True	ESR1
N-PROPYL BROMIDE	1	False	ESR1
PHENAZOPYRIDINE HYDROCHLORIDE	1	True	ESR1
CHEMBL:CHEMBL259327	1	False	ESR1
CHEMBL:CHEMBL354663	1	False	ESR1
CHEMBL:CHEMBL1432305	1	False	ESR1
PHENOLPHTHALEIN	1	True	ESR1
CHEMBL:CHEMBL2313445	1	False	ESR1
CADMIUM DICHLORIDE	1	False	ESR1
MONOETHANOLAMINE	1	False	ESR1
PUERARIN	1	False	ESR1
TRIS(2,3-DIBROMOPROPYL)PHOSPHATE	1	False	ESR1
SELECTIVE ESTROGEN RECEPTOR DEGRADER AZD9496	1	False	ESR1
CHEMBL:CHEMBL503990	1	False	ESR1
DIENOGEST	1	True	ESR1
CETRIMONIUM BROMIDE	1	False	ESR1
APIGENIN	1	True	ESR1
DACTINOMYCIN	1	True	ESR1
ENDOSULFAN	1	False	ESR1
PACLITAXEL	1	True	MAD1L1
CARBOPLATIN	1	True	MAD1L1
IL-37	1	False	GTF2I
(1S,3R)-ACPD	1	False	GRM8
MPPG	1	False	GRM8
AZ12216052	1	False	GRM8
(S)-3,4-DCPG	1	False	GRM8
DCG-IV	1	False	GRM8
VU0422288	1	False	GRM8
VU0155094	1	False	GRM8
L-CCG-I	1	False	GRM8
LY341495	1	False	GRM8
D-AP4	1	False	GRM8
DEXFOSFOSERINE	1	False	GRM8
EGLUMEGAD	1	False	GRM8
(R,S)-4-PPG	1	False	GRM8
L-AP4	1	False	GRM8
GLUTAMIC ACID	1	True	GRM8
METFORMIN	1	True	CSMD1
TDE	1	False	CYP7B1
ADRIAMYCIN	1	False	CYP7B1
TIRAPAZAMINE	1	False	CYP7B1
ANTI-DIABETIC AGENT	1	False	CYP7B1
FADROZOLE	1	False	CYP7B1
LYCOPENE	1	True	CYP7B1
SPIRONOLACTONE	1	True	CYP7B1
ACETAMINOPHEN	1	True	CYP7B1
SAPONIN	1	False	CYP7B1
MITOMYCIN	1	True	CYP7B1
DIAZOXIDE	1	True	CYP7B1
SAQUINAVIR	1	True	CYP7B1
GINKGO	1	False	CYP7B1
TRANDOLAPRIL	1	True	PTPRD
7-BIA	1	False	PTPRD
CIXUTUMUMAB	1	False	PTPRD
TEMSIROLIMUS	1	True	PTPRD
TEPROTUMUMAB-TRBW	1	True	PTPRD
ANTIHYPERTENSIVE AGENT	1	False	PTPRD
PIOGLITAZONE HYDROCHLORIDE	1	True	PTPRD
COMPOUND 17 [PMID: 23642479]	1	False	ELAVL2
MW01	1	False	ELAVL2
KINASE INHIBITOR 2 [PMID: 30199702]	1	False	ELAVL2
MW05	1	False	ELAVL2
ML315	1	False	ELAVL2
TCDD	1	False	PAX5
VISMODEGIB	1	True	PTCH1
SONIDEGIB	1	True	PTCH1
FENTANYL CITRATE	1	True	ASTN2
TORIN 2	1	False	GOLGA1
AZD7648	1	False	GOLGA1
WORTMANNIN	1	False	GOLGA1
PI-103	1	False	GOLGA1
DNA-PK INHIBITOR V	1	False	GOLGA1
NU-7441	1	False	GOLGA1
COMPOUND 82 [PMID: 21332118]	1	False	GOLGA1
BAY-8400	1	False	GOLGA1
LARTESERTIB	1	False	GOLGA1
PIK-75	1	False	GOLGA1
PEPOSERTIB	1	False	GOLGA1
NU-7026	1	False	GOLGA1
KU-0060648	1	False	GOLGA1
RUTHENIUM-BASED TRANSFERRIN TARGETING AGENT NKP-1339	1	False	HSPA5
AG 490	1	False	HSPA5
CHLORQUINALDOL	1	True	HSPA5
THAPSIGARGIN	1	False	HSPA5
IT-139	1	False	HSPA5
CHEMBL:CHEMBL480626	1	False	HSPA5
NPPB	1	False	HSPA5
CHEMBL:CHEMBL524376	1	False	HSPA5
MIANSERIN	1	False	HSPA5
STROBOPININ	1	False	HSPA5
4-METHYLDAPHNETIN	1	False	HSPA5
RO-6870810	1	False	BRD3
PELABRESIB	1	False	BRD3
CHEMBL:CHEMBL52030	1	False	BRD3
WNY0824	1	False	BRD3
ARV-771	1	False	BRD3
MOLIBRESIB	1	False	BRD3
APABETALONE	1	False	BRD3
MS363	1	False	BRD3
ABBV-744	1	False	BRD3
COMPOUND 36 [PMID: 24000170]	1	False	BRD3
COMPOUND 38 [PMID: 24000170]	1	False	BRD3
MIDAZOLAM HYDROCHLORIDE	1	True	BRD3
GW841819X	1	False	BRD3
XD14	1	False	BRD3
I-BET151	1	False	BRD3
BIRABRESIB	1	False	BRD3
BMS-986158	1	False	BRD3
LY-294002	1	False	BRD3
ESTAZOLAM	1	True	BRD3
LOSARTAN POTASSIUM	1	True	CAMK1D
MONALIZUMAB	1	False	GPR26
ADENOPHOSTIN A	1	False	MPPED2
INOSITOL 2,4,5-TRISPHOSPHATE	1	False	MPPED2
OMECAMTIV MECARBIL	1	False	MYBPC3
C1 ESTERASE INHIBITOR	1	True	SERPING1
RHUCIN	1	False	SERPING1
PEXMETINIB	1	False	CTNND1
TALMAPIMOD	1	False	CTNND1
SB203580	1	False	CTNND1
PH-797804	1	False	CTNND1
COMPOUND 4E [PMID: 35546685]	1	False	CTNND1
RALIMETINIB	1	False	CTNND1
DORAMAPIMOD	1	False	CTNND1
VX-702	1	False	CTNND1
NEFLAMAPIMOD	1	False	CTNND1
ORLISTAT	1	True	DAGLA
DANTROLENE	1	True	DAGLA
RUTHENIUM RED	1	False	DAGLA
MG2+	1	False	DAGLA
RYANODINE	1	False	DAGLA
PROCAINE	1	True	DAGLA
CD2+	1	False	TMEM258
ZN2+	1	False	TMEM258
SRT-1720	1	False	FEN1
CHEMBL:CHEMBL68096	1	False	FEN1
CHEMBL:CHEMBL1287983	1	False	FEN1
CHEMBL:CHEMBL1341830	1	False	FEN1
CARMINIC ACID	1	True	FEN1
TYRPHOSTIN 51	1	False	FEN1
CHEMBL:CHEMBL1534034	1	False	FEN1
CHEMBL:CHEMBL578257	1	False	FEN1
CHEMBL:CHEMBL1509103	1	False	FEN1
GMQ	1	False	FEN1
CHEMBL:CHEMBL582503	1	False	FEN1
CHEMBL:CHEMBL1726814	1	False	FEN1
ACID BLUE 129	1	False	FEN1
CARMINE	1	False	FEN1
INDOCYANINE GREEN ACID FORM	1	True	FEN1
3,5-DIIODO-L-TYROSINE	1	False	FEN1
CHEMBL:CHEMBL589915	1	False	FEN1
CHEMBL:CHEMBL601137	1	False	FEN1
CHEMBL:CHEMBL592598	1	False	FEN1
TBK1 PROTAC 3I	1	False	FEN1
2-METHOXY-1,4-NAPHTHOQUINONE	1	False	FEN1
MORIN	1	False	FEN1
CHEMBL:CHEMBL1312050	1	False	FEN1
PIRARUBICIN	1	False	FEN1
TOLONIUM CHLORIDE	1	False	FEN1
AZ13102909	1	False	FEN1
CHEMBL:CHEMBL223575	1	False	FEN1
CHEMBL:CHEMBL515505	1	False	FEN1
HAEMATOXYLIN	1	False	FEN1
CHEMBL:CHEMBL583558	1	False	FEN1
BIX-01294	1	False	FEN1
SANGUINARINE SULFATE	1	False	FEN1
BAICALEIN	1	False	FEN1
CHEMBL:CHEMBL528724	1	False	FEN1
CHEMBL:CHEMBL1448793	1	False	FEN1
STICTIC ACID	1	False	FEN1
CHEMBL:CHEMBL1528359	1	False	FEN1
AMINACRINE HYDROCHLORIDE	1	False	FEN1
CHEMBL:CHEMBL56393	1	False	FEN1
CHEMBL:CHEMBL136344	1	False	FEN1
FURAMIDINE	1	False	FEN1
AMENTOFLAVONE	1	False	FEN1
CHEMBL:CHEMBL1287980	1	False	FEN1
CHEMBL:CHEMBL1701915	1	False	FEN1
CHEMBL:CHEMBL86464	1	False	FEN1
COMPOUND 6 [PMID: 34333981]	1	False	FEN1
CHEMBL:CHEMBL1256291	1	False	FEN1
CHEMBL:CHEMBL581225	1	False	FEN1
MITONAFIDE	1	False	FEN1
CHEMBL:CHEMBL579919	1	False	FEN1
ASTERRIC ACID	1	False	FEN1
CHEMBL:CHEMBL592316	1	False	FEN1
EBSELEN	1	False	FEN1
CHEMBL:CHEMBL526763	1	False	FEN1
DEOXIEPINEPHRINE	1	False	FEN1
METHACYCLINE HYDROCHLORIDE	1	True	FEN1
TAXIFOLIN	1	False	FEN1
ATHRAQUINONES A	1	False	FEN1
DEPHOSTATIN	1	False	FEN1
4-CHLOROMERCURIBENZOIC ACID	1	False	FEN1
CHEMBL:CHEMBL1453126	1	False	FEN1
CHEMBL:CHEMBL494668	1	False	FEN1
SR8185	1	False	FEN1
CHEMBL:CHEMBL1451216	1	False	FEN1
LUTEOLIN	1	False	FEN1
RHEIN	1	False	FEN1
ISOKAEMPFERIDE	1	False	FEN1
CHEMBL:CHEMBL585502	1	False	FEN1
CHEMBL:CHEMBL547833	1	False	FEN1
CHEMBL:CHEMBL585240	1	False	FEN1
AMARANTH	1	False	FEN1
CHEMBL:CHEMBL1622802	1	False	FEN1
CHEMBL:CHEMBL589924	1	False	FEN1
METHYLDOPA (RACEMIC)	1	False	FEN1
CHEMBL:CHEMBL124006	1	False	FEN1
APOMORPHINE HYDROCHLORIDE HEMIHYDRATE	1	False	FEN1
ISOTHYMONIN	1	False	FEN1
TRANSPLATIN	1	False	FEN1
DECYNIUM 22	1	False	FEN1
CALMIDAZOLIUM CHLORIDE	1	False	FEN1
SLAZINIC ACID	1	False	FEN1
CHARTREUSIN	1	False	FEN1
SB-415286	1	False	FEN1
CATECHIN	1	True	FEN1
CHEMBL:CHEMBL1481974	1	False	FEN1
CHEMBL:CHEMBL521171	1	False	FEN1
CHEMBL:CHEMBL596633	1	False	FEN1
ELLIPTECINE	1	False	FEN1
HOMIDIUM BROMIDE	1	False	FEN1
PURPUROGALLIN	1	False	FEN1
CHEMBL:CHEMBL533082	1	False	FEN1
CHEMBL:CHEMBL19954	1	False	FEN1
CHEMBL:CHEMBL585622	1	False	FEN1
CHEMBL:CHEMBL95704	1	False	FEN1
PYRONIN Y	1	False	FEN1
OXIDOPAMINE HYDROCHLORIDE	1	False	FEN1
CHEMBL:CHEMBL578741	1	False	FEN1
CHEMBL:CHEMBL533954	1	False	FEN1
CHEMBL:CHEMBL532504	1	False	FEN1
CHEMBL:CHEMBL579742	1	False	FEN1
CHEMBL:CHEMBL601364	1	False	FEN1
BENSERAZIDE HYDROCHLORIDE	1	False	FEN1
DEMECLOCYCLINE	1	True	FEN1
HYCANTHONE	1	False	FEN1
CHEMBL:CHEMBL477936	1	False	FEN1
PINAFIDE	1	False	FEN1
CHEMBL:CHEMBL1092508	1	False	FEN1
OXOGLAUCINE	1	False	FEN1
CHEMBL:CHEMBL483206	1	False	FEN1
CHEMBL:CHEMBL234338	1	False	FEN1
CHEMBL:CHEMBL463783	1	False	FEN1
PICEATANNOL	1	False	FEN1
CHEMBL:CHEMBL486706	1	False	FEN1
PROTOPORPHYRIN DISODIUM	1	False	FEN1
ELLAGIC ACID	1	False	FEN1
CHEMBL:CHEMBL151146	1	False	FEN1
CHEMBL:CHEMBL478754	1	False	FEN1
CHEMBL:CHEMBL1255944	1	False	FEN1
CHEMBL:CHEMBL1601846	1	False	FEN1
QUERCETIN	1	True	FEN1
SENNOSIDE B	1	False	FEN1
CHEMBL:CHEMBL581251	1	False	FEN1
3-O-METHYLQUERCETIN	1	False	FEN1
EMODIN	1	False	FEN1
PURPURIN	1	False	FEN1
CHEMBL:CHEMBL516616	1	False	FEN1
MRT67307	1	False	FEN1
CEFSULODIN SODIUM	1	False	FEN1
FRAXETIN	1	False	FEN1
OXOPURPUREINE	1	False	FEN1
HYDROXYZINE PAMOATE	1	True	FEN1
CHEMBL:CHEMBL522983	1	False	FEN1
THUNBERGINOL B	1	False	FEN1
CCG-63802	1	False	FEN1
GSK8612	1	False	FEN1
COMPOUND II [PMID: 21329883]	1	False	FEN1
BAY-985	1	False	FEN1
AKT INHIBITOR IV	1	False	FEN1
CLINAFLOXACIN	1	False	FEN1
GW305074X	1	False	FEN1
DEQUALINIUM	1	True	FEN1
CHEMBL:CHEMBL515252	1	False	FEN1
EPINEPHRINE	1	True	FEN1
CHEMBL:CHEMBL602127	1	False	FEN1
CHEMBL:CHEMBL576781	1	False	FEN1
AURINTRICARBOXYLIC ACID	1	False	FEN1
PHENYLSTIBONIC ACID	1	False	FEN1
PROTOPORPHYRIN	1	False	FEN1
PAMOIC ACID	1	False	FEN1
METHYLENE BLUE ANHYDROUS	1	True	FEN1
QUINACRINE	1	False	FEN1
LAVENDUSTIN C	1	False	FEN1
JP1302	1	False	FEN1
HOMIDIUM	1	False	FEN1
CHEMBL:CHEMBL68534	1	False	FEN1
SANGUINARIUM CHLORIDE	1	False	FEN1
CHEMBL:CHEMBL461193	1	False	FEN1
ML 10302	1	False	FEN1
CHEMBL:CHEMBL22062	1	False	FEN1
CHEMBL:CHEMBL525103	1	False	FEN1
CHEMBL:CHEMBL338115	1	False	FEN1
CHEMBL:CHEMBL584458	1	False	FEN1
DITHIAZANINE	1	False	FEN1
HISPIDIN	1	False	FEN1
CEPHALOCHROMIN	1	False	FEN1
TYRPHOSTIN 23	1	False	FEN1
METHYLTHIONINIUM CHLORIDE	1	False	FEN1
MPI-0485520	1	False	FEN1
CHEMBL:CHEMBL493863	1	False	FEN1
TETRAIDOFLUORESCEIN	1	False	FEN1
FAGARONINE	1	False	FEN1
ERBSTATIN	1	False	FEN1
CHEMBL:CHEMBL578719	1	False	FEN1
OXYTETRACYCLINE ANHYDROUS	1	True	FEN1
CETYLPYRIDINIUM BROMIDE	1	False	FEN1
STREPTONIGRIN	1	False	FEN1
TYRPHOSTIN B48	1	False	FEN1
MOTEXAFIN GADOLINIUM	1	False	PRDX5
CHEMBL:CHEMBL148831	1	False	PRDX5
ADX10059	1	False	GRM5
AZD2516	1	False	GRM5
RG7342	1	False	GRM5
MAVOGLURANT	1	False	GRM5
LY545694	1	False	GRM5
DIPRAGLURANT	1	False	GRM5
AZD2066	1	False	GRM5
BASIMGLURANT	1	False	GRM5
STX-107	1	False	GRM5
GANCICLOVIR	1	True	GRM5
RASEGLURANT	1	False	GRM5
ACAMPROSATE CALCIUM	1	True	GRM5
AZD9272	1	False	GRM5
AZD6538	1	False	GRM5
STX107	1	False	GRM5
VER-246608	1	False	GRM5
AZD7545	1	False	GRM5
BB-10901	1	False	NCAM1
LORVOTUZUMAB MERTANSINE	1	False	NCAM1
ONCOLYSIN S	1	False	NCAM1
REMOXIPRIDE	1	True	DRD2
AXITINIB	1	True	DRD2
QUINAGOLIDE	1	False	DRD2
SULPIRIDE	1	True	DRD2
DOMPERIDONE	1	True	DRD2
TIVOZANIB	1	True	DRD2
PRIDOPIDINE	1	False	DRD2
MINAPRINE	1	True	DRD2
METOCLOPRAMIDE HYDROCHLORIDE	1	True	DRD2
ROXINDOLE	1	False	DRD2
ZM-306416	1	False	DRD2
LOXAPINE	1	True	DRD2
FLUPHENAZINE ENANTHATE	1	True	DRD2
EPHEDRINE	1	True	DRD2
METARAMINOL	1	True	DRD2
PERGOLIDE	1	True	DRD2
APOMORPHINE	1	True	DRD2
FLUPENTHIXOL	1	False	DRD2
MESORIDAZINE	1	True	DRD2
DUAL VEGFR/PARP INHIBITOR 14B	1	False	DRD2
AST-487	1	False	DRD2
TINENGOTINIB	1	False	DRD2
ALIZAPRIDE	1	False	DRD2
MLKL COMPOUND 1	1	False	DRD2
ASENAPINE	1	True	DRD2
BROMOPRIDE	1	False	DRD2
FLUPHENAZINE HYDROCHLORIDE	1	True	DRD2
ITOPRIDE	1	False	DRD2
NAPHAZOLINE	1	True	DRD2
LURASIDONE HYDROCHLORIDE	1	True	DRD2
ASENAPINE MALEATE	1	True	DRD2
PROPOFOL	1	True	DRD2
AMISULPRIDE	1	True	DRD2
TRAZPIROBEN	1	False	DRD2
PLX-4720	1	False	DRD2
SU-14813	1	False	DRD2
SU-11652	1	False	DRD2
CARIPRAZINE	1	True	DRD2
ACETOPHENAZINE	1	True	DRD2
MEPHENTERMINE	1	True	DRD2
SUMANIROLE	1	False	DRD2
BEVANTOLOL	1	False	DRD2
SARIZOTAN HYDROCHLORIDE	1	False	DRD2
AMINEPTIN	1	True	DRD2
COMPOUND 8H [PMID: 22765894]	1	False	DRD2
CHLORPROMAZINE	1	True	DRD2
PRAMIPEXOLE	1	True	DRD2
MOLINDONE	1	True	DRD2
OCAPERIDONE	1	False	DRD2
APLINDORE FUMARATE	1	False	DRD2
ERDAFITINIB	1	True	DRD2
MOTESANIB	1	False	DRD2
CABERGOLINE	1	True	DRD2
ROTIGOTINE	1	True	DRD2
ANIRACETAM	1	False	DRD2
PARDOPRUNOX	1	False	DRD2
CARPHENAZINE	1	True	DRD2
OSI-930	1	False	DRD2
APLINDORE	1	False	DRD2
PIMOZIDE	1	True	DRD2
THIETHYLPERAZINE	1	True	DRD2
BLONANSERIN	1	False	DRD2
GSK2646264	1	False	DRD2
LUCITANIB	1	False	DRD2
AZD-4547	1	False	DRD2
SITRAVATINIB	1	False	DRD2
BIFEPRUNOX	1	False	DRD2
REMOXIPRIDE HYDROCHLORIDE	1	True	DRD2
TRIFLUPROMAZINE	1	True	DRD2
TAFETINIB	1	False	DRD2
SEMAXANIB	1	False	DRD2
BROMOCRIPTINE MESYLATE	1	True	DRD2
OLANZAPINE PAMOATE	1	True	DRD2
CARIPRAZINE HYDROCHLORIDE	1	True	DRD2
ORDOPIDINE	1	False	DRD2
LISURIDE	1	False	DRD2
DIHYDROERGOTAMINE MESYLATE	1	True	DRD2
LAZERTINIB	1	False	DRD2
VEGFC	1	False	DRD2
THIETHYLPERAZINE MALATE	1	True	DRD2
DAPIPRAZOLE	1	True	DRD2
ROPINIROLE	1	True	DRD2
PIPERACETAZINE	1	True	DRD2
PSEUDOEPHEDRINE	1	True	DRD2
BRIVANIB	1	False	DRD2
PAMUFETINIB	1	False	DRD2
ACRIZANIB	1	False	DRD2
COMPOUND 8I [PMID: 22765894]	1	False	DRD2
METHOTRIMEPRAZINE	1	True	DRD2
ZUCLOPENTHIXOL	1	True	DRD2
GOLVATINIB	1	False	DRD2
SULFATINIB	1	False	DRD2
CHLORPROTHIXENE	1	True	DRD2
TRIMIPRAMINE MALEATE	1	True	DRD2
DROPERIDOL	1	True	DRD2
ANALGESIC AGENT	1	False	DRD2
BREXPIPRAZOLE	1	True	DRD2
PHENOXYBENZAMINE	1	True	DRD2
PRALSETINIB	1	True	DRD2
3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE	1	False	DRD2
DOCARPAMINE	1	False	DRD2
THIOTHIXENE	1	True	DRD2
5-OH-DPAT	1	False	DRD2
ERGONOVINE	1	False	DRD2
SB-773812	1	False	DRD2
BX-912	1	False	DRD2
CANLITINIB	1	False	DRD2
LUMATEPERONE	1	True	DRD2
YKP-1358	1	False	DRD2
THIORIDAZINE	1	True	DRD2
INFIGRATINIB	1	True	DRD2
COMPOUND 19A [PMID: 30503936]	1	False	DRD2
PEGDINETANIB	1	False	DRD2
PEXIDARTINIB	1	True	DRD2
VEGF RECEPTOR 2 KINASE INHIBITOR IV	1	False	DRD2
REGORAFENIB	1	True	DRD2
SARIZOTAN	1	False	DRD2
CARPHENAZINE MALEATE	1	True	DRD2
LOXAPINE HYDROCHLORIDE	1	True	DRD2
MINAPRINE HYDROCHLORIDE	1	True	DRD2
ONZIGOLIDE	1	False	DRD2
SERTINDOLE	1	True	DRD2
FLUSPIRILENE	1	True	DRD2
ABAPERIDONE	1	False	DRD2
MIVAVOTINIB	1	False	DRD2
NINGETINIB	1	False	DRD2
ALTIRATINIB	1	False	DRD2
PRAMIPEXOLE DIHYDROCHLORIDE	1	True	DRD2
BENPERIDOL	1	True	DRD2
JNJ-37822681	1	False	DRD2
OXIDOPAMINE	1	False	DRD2
ZICRONAPINE	1	False	DRD2
FAMITINIB	1	False	DRD2
CATEQUENTINIB	1	False	DRD2
PROMAZINE	1	True	DRD2
VEGFE	1	False	DRD2
CARMOXIROLE	1	False	DRD2
KI-20227	1	False	DRD2
MESORIDAZINE BESYLATE	1	True	DRD2
FLUPHENAZINE DECANOATE	1	True	DRD2
PHENYLTOLOXAMINE	1	True	DRD2
BL-1020	1	False	DRD2
RAMUCIRUMAB	1	True	DRD2
BIBF-1202	1	False	DRD2
SERIDOPIDINE	1	False	DRD2
VERALIPRIDE	1	True	DRD2
PF-00217830	1	False	DRD2
QUINPIROLE	1	False	DRD2
VEGFA	1	False	DRD2
LENVATINIB	1	True	DRD2
SUMATRIPTAN	1	True	DRD2
ETILEVODOPA	1	False	DRD2
PHENTOLAMINE	1	True	DRD2
TALIPEXOLE	1	False	DRD2
TELATINIB	1	False	DRD2
COMPOUND T.14	1	False	DRD2
PROPIOMAZINE	1	True	DRD2
ADOPRAZINE	1	False	DRD2
FRUQUINTINIB	1	True	DRD2
BROMOCRIPTINE	1	True	DRD2
BUSPIRONE	1	True	DRD2
MAZAPERTINE SUCCINATE	1	False	DRD2
CEP-11981	1	False	DRD2
ACETOPHENAZINE MALEATE	1	True	DRD2
TRIFLUPROMAZINE HYDROCHLORIDE	1	True	DRD2
(-)-STEPHOLIDINE	1	False	DRD2
RASAGILINE	1	True	DRD2
ORANTINIB	1	False	DRD2
RESENCATINIB	1	False	DRD2
VEGF RECEPTOR TYROSINE KINASE INHIBITOR III	1	False	DRD2
ONC201	1	False	DRD2
PROMAZINE HYDROCHLORIDE	1	True	DRD2
PERAZINE	1	False	DRD2
HENATINIB	1	False	DRD2
VATALANIB	1	False	DRD2
BROMPERIDOL	1	True	DRD2
BENZQUINAMIDE HYDROCHLORIDE	1	True	DRD2
TRIFLUOPERAZINE	1	True	DRD2
PERGOLIDE MESYLATE	1	True	DRD2
HALOPERIDOL LACTATE	1	True	DRD2
DOPEXAMINE	1	False	DRD2
COMPOUND 13A [PMID: 23639540]	1	False	DRD2
TOCERANIB	1	False	DRD2
NINTEDANIB ESYLATE	1	True	DRD2
VEGF RECEPTOR 2 KINASE INHIBITOR II	1	False	DRD2
TIAPRIDE	1	False	DRD2
CLEBOPRIDE	1	True	DRD2
DIHYDROERGOTOXINE	1	False	DRD2
DIHYDREXIDINE	1	False	DRD2
TESEVATINIB	1	False	DRD2
N-(4-CHLOROPHENYL)-2-[(PYRIDIN-4-YLMETHYL)AMINO]BENZAMIDE	1	False	DRD2
TRIFLUOPERAZINE HYDROCHLORIDE	1	True	DRD2
THIETHYLPERAZINE MALEATE	1	True	DRD2
THIOTHIXENE HYDROCHLORIDE	1	True	DRD2
RIVOCERANIB	1	False	DRD2
