pmid,title,year,journal,study_type,pmc_id
20463297,Effects of epigallocatechin-3-gallate on behavioral impairments induced by psychological stress in rats.,2010,"Experimental biology and medicine (Maywood, N.J.)",animal,
20532976,cDNA microarray analysis of gene expression in the cerebral cortex and hippocampus of BALB/c mice subjected to chronic mild stress.,2010,Cellular and molecular neurobiology,animal,PMC11498782
20553750,Neural correlates of altered pain response in women with posttraumatic stress disorder from intimate partner violence.,2010,Biological psychiatry,human,
20569651,Switching between executive and default mode networks in posttraumatic stress disorder: alterations in functional connectivity.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2895156
20463116,Neural correlates of strategic processes underlying episodic memory in women with major depression: A 15O-PET study.,2010,The Journal of neuropsychiatry and clinical neurosciences,human,
20619143,Wuling Capsule promotes hippocampal neurogenesis by improving expression of connexin 43 in rats exposed to chronic unpredictable mild stress.,2010,Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,animal,
20618414,"Comorbidity between epilepsy and depression: experimental evidence for the involvement of serotonergic, glucocorticoid, and neuroinflammatory mechanisms.",2010,Epilepsia,animal,PMC2909020
20609373,Bisphenol A interferes with synaptic remodeling.,2010,Frontiers in neuroendocrinology,animal,PMC2964437
20606245,[Sense and sensibility: bipolar affective disorder as a battlefield of cognitions and emotions--lamotrigine therapy as a peacekeeper].,2010,Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet lapja = official journal of the Hungarian Association of Psychopharmacology,review,
20602432,Effect of gender on processing threat-related stimuli in patients with panic disorder: sex does matter.,2010,Depression and anxiety,human,
20602430,Amygdala activation in response to facial expressions in pediatric obsessive-compulsive disorder.,2010,Depression and anxiety,human,PMC2951127
20600666,Chronic corticosterone administration down-regulates metabotropic glutamate receptor 5 protein expression in the rat hippocampus.,2010,Neuroscience,animal,PMC2918667
20600466,Hippocampal volume deficits associated with exposure to psychological trauma and posttraumatic stress disorder in adults: a meta-analysis.,2010,Progress in neuro-psychopharmacology & biological psychiatry,meta_analysis,
20599363,First episode drug-naïve major depressive disorder with panic disorder: gray matter deficits in limbic and default network structures.,2010,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,human,
20598672,Insomnia severity is associated with a decreased volume of the CA3/dentate gyrus hippocampal subfield.,2010,Biological psychiatry,human,PMC2921477
20598238,Differential effects of serotonergic and noradrenergic antidepressants on brain activity during a cognitive control task and neurofunctional prediction of treatment outcome in patients with depression.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2895155
20587836,Influence of carbamazepine on kindling grades in depressive and non-depressive rats.,2010,Georgian medical news,animal,
20579974,Decreased prefrontal cortical volume associated with increased bedtime cortisol in traumatized youth.,2010,Biological psychiatry,human,PMC2921458
20576499,AKT/GSK-3beta/beta-catenin signalling within hippocampus and amygdala reflects genetically determined differences in posttraumatic stress disorder like symptoms.,2010,Neuroscience,animal,
20573883,Homeostatic switch in hebbian plasticity and fear learning after sustained loss of Cav1.2 calcium channels.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC6634643
20573339,Exaggerated and disconnected insular-amygdalar blood oxygenation level-dependent response to threat-related emotional faces in women with intimate-partner violence posttraumatic stress disorder.,2010,Biological psychiatry,human,PMC2921473
20571741,[Antidepressant effect of microinjection of neuropeptide Y into the hippocampus is mediated by decreased expression of nitric oxide synthase].,2010,Sheng li xue bao : [Acta physiologica Sinica],animal,
20569644,Oxidative damage to RNA but not DNA in the hippocampus of patients with major mental illness.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2928282
20457854,Computational analysis of the impact of chronic stress on intrinsic and synaptic excitability in the hippocampus.,2010,Journal of neurophysiology,in_vitro,PMC2888238
20454892,The effects of repeated social defeat on long-term depressive-like behavior and short-term histone modifications in the hippocampus in male Sprague-Dawley rats.,2010,Psychopharmacology,animal,
20621455,Association between cingulum bundle structure and cognitive performance: an observational study in major depression.,2010,European psychiatry : the journal of the Association of European Psychiatrists,human,
20392957,Strain differences in stress responsivity are associated with divergent amygdala gene expression and glutamate-mediated neuronal excitability.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC2866495
20392498,Subregional hippocampal deformations in major depressive disorder.,2010,Journal of affective disorders,human,PMC3197834
20381874,Regional brain metabolic correlates of self-reported depression severity contrasted with clinician ratings.,2010,Journal of affective disorders,human,PMC3580232
20368513,Neural processing of reward and loss in girls at risk for major depression.,2010,Archives of general psychiatry,human,PMC2852176
20364889,Role of corticosterone in trace and delay conditioned fear-potentiated startle in rats.,2010,Behavioral neuroscience,animal,PMC2852175
20361894,Neural processing of emotional overinvolvement in borderline personality disorder.,2010,The Journal of clinical psychiatry,human,
20360318,Emotion modulation in PTSD: Clinical and neurobiological evidence for a dissociative subtype.,2010,The American journal of psychiatry,review,PMC3226703
20393460,Anterior cingulate desynchronization and functional connectivity with the amygdala during a working memory task predict rapid antidepressant response to ketamine.,2010,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC2869391
20347816,Regional gray matter density changes in brains of patients with irritable bowel syndrome.,2010,Gastroenterology,human,PMC2902717
20338580,Altered T2* relaxation time of the hippocampus in major depressive disorder: implications of ultra-high field magnetic resonance imaging.,2010,Journal of psychiatric research,human,
20337016,[Brain functions in major depressive disorder: a resting-state functional magnetic resonance imaging study].,2010,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,human,
20308988,Environmental enrichment requires adult neurogenesis to facilitate the recovery from psychosocial stress.,2010,Molecular psychiatry,animal,PMC2990187
20307585,Regular voluntary exercise cures stress-induced impairment of cognitive function and cell proliferation accompanied by increases in cerebral IGF-1 and GST activity in mice.,2010,Behavioural brain research,animal,
20307163,Synapse regression in depression: the role of 5-HT receptors in modulating NMDA receptor function and synaptic plasticity.,2010,The Australian and New Zealand journal of psychiatry,review,
20307012,Amygdala lateralization at rest and during viewing of neutral faces in major depressive disorder using low-resolution brain electromagnetic tomography.,2010,Clinical EEG and neuroscience,human,
20306200,"Correlation of serum BDNF levels with hippocampal volumes in first episode, medication-free depressed patients.",2010,European archives of psychiatry and clinical neuroscience,human,
20346518,"BDNF val66met polymorphism, white matter abnormalities and remission of geriatric depression.",2010,Journal of affective disorders,human,PMC2903650
20399256,Effects of neonatal flutamide treatment on hippocampal neurogenesis and synaptogenesis correlate with depression-like behaviors in preadolescent male rats.,2010,Neuroscience,animal,PMC3574794
20399839,Hypothalamic serotonin-1A receptor binding measured by PET predicts the plasma level of dehydroepiandrosterone sulfate in healthy women.,2010,Neuroscience letters,human,
20401747,Erythropoietin modulates neural and cognitive processing of emotional information in biomarker models of antidepressant drug action in depressed patients.,2010,Psychopharmacology,human,
20452398,Passively viewing negatively valenced baby faces attenuates left amygdala activity in healthy females scoring high on 'Harm Avoidance'.,2010,Neuroscience letters,human,
20445054,The central and basolateral amygdala are critical sites of neuropeptide Y/Y2 receptor-mediated regulation of anxiety and depression.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC3073168
20439828,Elevated brain monoamine oxidase A binding in the early postpartum period.,2010,Archives of general psychiatry,human,
20439387,Abnormal hippocampal functioning and impaired spatial navigation in depressed individuals: evidence from whole-head magnetoencephalography.,2010,The American journal of psychiatry,human,PMC2905217
20438768,Strain differences in the chronic mild stress animal model of depression.,2010,Behavioural brain research,animal,
20430976,Cortical and subcortical abnormalities in late-onset depression with history of suicide attempts investigated with MRI and voxel-based morphometry.,2010,Journal of geriatric psychiatry and neurology,human,
20427157,Chronic and treatment-resistant depression: a study using arterial spin labeling perfusion MRI at 3Tesla.,2010,Psychiatry research,human,
20427053,Alterations in the hippocampal glycinergic system in an animal model of posttraumatic stress disorder.,2010,Journal of psychiatric research,animal,
20420768,Pain sensitivity and neural processing during dissociative states in patients with borderline personality disorder with and without comorbid posttraumatic stress disorder: a pilot study.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2861134
20420766,Medial prefrontal cortex activity during memory encoding of pictures and its relation to symptomatic improvement after citalopram treatment in patients with major depression.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2861132
20416332,Morinda citrifolia fruit reduces stress-induced impairment of cognitive function accompanied by vasculature improvement in mice.,2010,Physiology & behavior,animal,
20408925,Hippocampal adult neurogenesis is enhanced by chronic eszopiclone treatment in rats.,2010,Journal of sleep research,animal,PMC2920363
20406669,Chronic high corticosterone reduces neurogenesis in the dentate gyrus of adult male and female rats.,2010,Neuroscience,animal,
20406487,Anxiety- and depressive-like responses and c-fos activity in preproenkephalin knockout mice: oversensitivity hypothesis of enkephalin deficit-induced posttraumatic stress disorder.,2010,Journal of biomedical science,animal,PMC2867948
20405205,Effects of depressive-like behavior of rats on brain glutamate uptake.,2010,Neurochemical research,animal,
20403087,Hippocampal microinfusion of oxytocin attenuates the behavioural response to stress by means of dynamic interplay with the glucocorticoid-catecholamine responses.,2010,Journal of neuroendocrinology,animal,
20401750,Sustained stress-induced changes in mice as a model for chronic depression.,2010,Psychopharmacology,animal,
20455016,"Ozone modulates the effects of imipramine on immobility in the forced swim test, and nonspecific parameters of hippocampal oxidative stress in the rat.",2010,Metabolic brain disease,animal,
20626138,[Gene chips-aided analysis on the profiles of hippocampal whole-genome expression in depression rats following electroacupuncture treatment].,2010,Zhen ci yan jiu = Acupuncture research,animal,
20626564,Chronic restraint stress impairs neurogenesis and hippocampus-dependent fear memory in mice: possible involvement of a brain-specific transcription factor Npas4.,2010,Journal of neurochemistry,animal,
20630713,Habitual emotion regulation strategies and depressive symptoms in healthy subjects predict fMRI brain activation patterns related to major depression.,2010,Psychiatry research,human,
20955328,"Posttraumatic stress disorder and traumatic stress: from bench to bedside, from war to disaster.",2010,Annals of the New York Academy of Sciences,review,
21273679,Alterations in hippocampal calcium-binding neurons induced by stress models of depression: a preliminary assessment.,2010,Pharmacological reports : PR,animal,
20934312,"Hydrocortisone responsiveness in Gulf War veterans with PTSD: effects on ACTH, declarative memory hippocampal [(18)F]FDG uptake on PET.",2010,Psychiatry research,human,
20923432,Reduced gray matter volume of dorsal cingulate cortex in patients with obsessive-compulsive disorder: a voxel-based morphometric study.,2010,Psychiatry and clinical neurosciences,human,
20921116,Regional brain volume in depression and anxiety disorders.,2010,Archives of general psychiatry,human,
20920780,"Curcumin attenuates the effects of transport stress on serum cortisol concentration, hippocampal NO production, and BDNF expression in the pig.",2010,Domestic animal endocrinology,animal,
20883743,Increased error-related brain activity in generalized anxiety disorder.,2010,Biological psychology,human,
20875841,"Effects of voluntary physical exercise on adult hippocampal neurogenesis and behavior of Ts65Dn mice, a model of Down syndrome.",2010,Neuroscience,animal,
20864319,Reduced medial prefrontal N-acetyl-aspartate levels in pediatric major depressive disorder: a multi-voxel in vivo(1)H spectroscopy study.,2010,Psychiatry research,human,PMC2963721
20864221,Relating hippocampal neurogenesis to behavior: the dangers of ignoring confounding variables.,2010,Neurobiology of aging,animal,
20864090,Cortisol awakening response and hippocampal volume: vulnerability for major depressive disorder?,2010,Biological psychiatry,human,
20861378,Neuroligin 1 is dynamically exchanged at postsynaptic sites.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC3108891
20861377,Time-dependent effects of corticosteroids on human amygdala processing.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,human,PMC6633587
20861371,Intermittent hypoxia promotes hippocampal neurogenesis and produces antidepressant-like effects in adult rats.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC6633584
20858043,"Is it time to consider cognitive behavioral therapy for persons with epilepsy? Clues from pathophysiology, treatment and functional neuroimaging.",2010,Expert review of neurotherapeutics,review,
20855060,The neural correlates of emotional memory in posttraumatic stress disorder.,2010,Biological psychiatry,human,
20850136,Neuroanatomical and neuropsychological features of elderly euthymic depressed patients with early- and late-onset.,2010,Journal of the neurological sciences,human,
20955473,Neurotrophin receptors TrkB.T1 and p75NTR cooperate in modulating both functional and structural plasticity in mature hippocampal neurons.,2010,The European journal of neuroscience,animal,
21309113,Functional neuroanatomy of anxiety: a neural circuit perspective.,2010,Current topics in behavioral neurosciences,review,
20956301,Neuronal Abelson helper integration site-1 (Ahi1) deficiency in mice alters TrkB signaling with a depressive phenotype.,2010,Proceedings of the National Academy of Sciences of the United States of America,animal,PMC2973903
21614209,Chronic mild stress induces fluoxetine-reversible decreases in hippocampal and cerebrospinal fluid levels of the neurotrophic factor S100B and its specific receptor.,2010,International journal of molecular sciences,animal,PMC3100818
21179662,[Involvement of neurogenesis in the action of psychotropic drugs].,2010,Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica,animal,
21159965,Individual stress vulnerability is predicted by short-term memory and AMPA receptor subunit ratio in the hippocampus.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC6634917
21198246,A review of the neurobiological effects of psychotherapy for depression.,2010,"Psychotherapy (Chicago, Ill.)",review,
21150338,Harmine and imipramine promote antioxidant activities in prefrontal cortex and hippocampus.,2010,Oxidative medicine and cellular longevity,animal,PMC3154037
21123555,Antidepressant effect of optogenetic stimulation of the medial prefrontal cortex.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,animal,PMC3004756
21211630,"[Major depressive disorder: factors of risk, vulnerability and protection].",2010,L'Encephale,review,
21211634,[Recurrent depression: episodes neurotoxicity and recurrences prevention].,2010,L'Encephale,review,
21118505,Gene expression profile analysis of genes in rat hippocampus from antidepressant treated rats using DNA microarray.,2010,BMC neuroscience,animal,PMC3009642
21106812,Acute and sustained effects of cognitive emotion regulation in major depression.,2010,The Journal of neuroscience : the official journal of the Society for Neuroscience,human,PMC6633759
21098808,Neural correlates of rumination in depression.,2010,"Cognitive, affective & behavioral neuroscience",human,PMC4476645
21226313,[Brain-derived neurotrophic factor (BDNF) and mood disorder].,2010,Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology,review,
21235059,[Effect of electroacupuncture on hippocampal apoptosis and JNK signal pathway in chronic stress depression rats].,2010,Zhen ci yan jiu = Acupuncture research,animal,
21051994,The design of new antidepressants: can formal models help? A first attempt using a model of the hippocampal control over the HPA-axis based on a review from the literature.,2010,Behavioural pharmacology,review,
21051206,Structural equation modeling and principal component analysis of gray matter volumes in major depressive and bipolar disorders: differences in latent volumetric structure.,2010,Psychiatry research,human,PMC3001135
21048519,Subgenual cingulate connectivity in children with a history of preschool-depression.,2010,Neuroreport,human,PMC3008372
21047157,Gender differences in depression.,2010,"International review of psychiatry (Abingdon, England)",review,
21041614,Relationship between amygdala responses to masked faces and mood state and treatment in major depressive disorder.,2010,Archives of general psychiatry,human,PMC3253452
20964960,Perceived early-life maternal care and the cortisol response to repeated psychosocial stress.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2964367
20843874,Linking molecules to mood: new insight into the biology of depression.,2010,The American journal of psychiatry,review,PMC3031089
20843871,High-field magnetic resonance imaging of suicidality in patients with major depressive disorder.,2010,The American journal of psychiatry,human,
20833223,Memory related dysregulation of hippocampal function in major depressive disorder.,2010,Biological psychology,human,
20687353,[Usefulness of proton MR spectroscopy for determining diagnosis and treatment outcome in unipolar depressive disorder].,2010,Przeglad lekarski,human,
20686454,Peripheral BDNF produces antidepressant-like effects in cellular and behavioral models.,2010,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC2955759
20686132,A hypothesized role for dendritic remodeling in the etiology of mood and anxiety disorders.,2010,The Journal of neuropsychiatry and clinical neurosciences,review,
20686125,Regional patterns of brain tissue loss associated with depression in Parkinson disease.,2010,Neurology,human,
20679891,"Brain-derived neurotrophic factor in traumatic brain injury, post-traumatic stress disorder, and their comorbid conditions: role in pathogenesis and treatment.",2010,Behavioural pharmacology,review,
20675584,Stress coping stimulates hippocampal neurogenesis in adult monkeys.,2010,Proceedings of the National Academy of Sciences of the United States of America,animal,PMC2930418
20673548,Reduced anterior cingulate and orbitofrontal volumes in child abuse-related complex PTSD.,2010,The Journal of clinical psychiatry,human,
20668437,Effects of duloxetine treatment on brain response to painful stimulation in major depressive disorder.,2010,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC3055320
20667454,Basolateral amygdala stimulation does not recruit LTP at depotentiated synapses.,2010,Physiology & behavior,animal,
20666641,Involvement of tissue plasminogen activator in stress responsivity during acute cocaine withdrawal in mice.,2010,"Stress (Amsterdam, Netherlands)",animal,PMC3832196
20666141,[Involvement of neurogenesis in the action of psychotropic drugs].,2010,Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology,animal,
20655508,Learning as a model for neural plasticity in major depression.,2010,Biological psychiatry,human,
20651837,Chronic effects of venlafaxine on synaptophysin and neuronal cell adhesion molecule in the hippocampus of cerebral ischemic mice.,2010,Biochemistry and cell biology = Biochimie et biologie cellulaire,animal,
20649579,Depression-resistant endophenotype in mice overexpressing cannabinoid CB(2) receptors.,2010,British journal of pharmacology,animal,PMC2936848
20646680,Smaller cornu ammonis 2-3/dentate gyrus volumes and elevated cortisol in multiple sclerosis patients with depressive symptoms.,2010,Biological psychiatry,human,PMC3122328
20645779,Antidepressant effects of the extract YZ-50 from Polygala tenuifolia in chronic mild stress treated rats and its possible mechanisms.,2010,Pharmaceutical biology,animal,
20630715,"Gender differences in alpha-[(11)C]MTrp brain trapping, an index of serotonin synthesis, in medication-free individuals with major depressive disorder: a positron emission tomography study.",2010,Psychiatry research,human,
20688488,Preserved subcortical volumes and cortical thickness in women with sexual abuse-related PTSD.,2010,Psychiatry research,human,
20692322,Fluoxetine treatment induces dose dependent alterations in depression associated behavior and neural plasticity in female mice.,2010,Neuroscience letters,animal,PMC4623584
20694966,Impact of the HTR3A gene with early life trauma on emotional brain networks and depressed mood.,2010,Depression and anxiety,human,
20696147,Central monoamine levels differ between rat strains used in studies of depressive behavior.,2010,Brain research,animal,PMC2946061
20832872,Parenting and plasticity.,2010,Trends in neurosciences,review,PMC3076301
21322503,Brain anatomy of major depression I. Focus on hippocampus.,2010,Epidemiologia e psichiatria sociale,review,
20832254,Regional cortical gray matter thickness differences associated with type 2 diabetes and major depression.,2010,Psychiatry research,human,PMC2963701
20819990,Reduced brain white matter integrity in trichotillomania: a diffusion tensor imaging study.,2010,Archives of general psychiatry,human,
20816923,Adult neurogenesis is reduced in the dorsal hippocampus of rats displaying learned helplessness behavior.,2010,Neuroscience,animal,
20808083,Cognitive control in late-life depression: response inhibition deficits and dysfunction of the anterior cingulate cortex.,2010,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,human,PMC3770530
20800102,Cortisol enhances neural differentiation during fear acquisition and extinction in contingency aware young women.,2010,Neurobiology of learning and memory,human,
20738409,Anxiety-related behavioral inhibition in rats: a model to examine mechanisms underlying the risk to develop stress-related psychopathology.,2010,"Genes, brain, and behavior",animal,PMC2975876
20299006,Basal hypothalamic pituitary adrenal axis activity and hippocampal volumes: the SMART-Medea study.,2010,Biological psychiatry,human,
20738212,Protective effect of gan mai da zao decoction in unpredictable chronic mild stress-induced behavioral and biochemical alterations.,2010,Pharmaceutical biology,animal,
20731966,Structural changes in the hippocampus in major depressive disorder: contributions of disease and treatment.,2010,Journal of psychiatry & neuroscience : JPN,human,PMC2928287
20721776,Investigating the association between early life parental care and stress responsivity in adulthood.,2010,Developmental neuropsychology,human,
20716327,Hippocampal CA1/subiculum-prefrontal cortical pathways induce plastic changes of nociceptive responses in cingulate and prelimbic areas.,2010,BMC neuroscience,animal,PMC2936438
20712756,Amygdala astrocyte reduction in subjects with major depressive disorder but not bipolar disorder.,2010,Bipolar disorders,human,
20709032,Biphasic effects of the anterior cingulate cortex stimulation on glabrous skin blood flow in rats.,2010,Brain research,animal,
20708906,fMRI activation in the amygdala and the orbitofrontal cortex in unmedicated subjects with major depressive disorder.,2010,Psychiatry research,human,PMC3382985
20703306,Amygdalar and hippocampal substrates of anxious temperament differ in their heritability.,2010,Nature,animal,PMC2998538
20700523,Environmental enrichment induces behavioral recovery and enhanced hippocampal cell proliferation in an antidepressant-resistant animal model for PTSD.,2010,PloS one,animal,PMC2916817
20733346,Increased activation of the supragenual anterior cingulate cortex during visual emotional processing in male subjects with high degrees of alexithymia: an event-related fMRI study.,2010,Psychotherapy and psychosomatics,human,
20236235,Occlusion and brain function: mastication as a prevention of cognitive dysfunction.,2010,Journal of oral rehabilitation,review,
20444504,Demonstration of disturbed activity of the lateral amygdaloid nucleus projection neurons in depressed patients by the AgNOR staining method.,2010,Journal of affective disorders,human,
20227856,Effects of antidepressant treatment on N-acetyl aspartate and choline levels in the hippocampus and thalami of post-stroke depression patients: a study using (1)H magnetic resonance spectroscopy.,2010,Psychiatry research,human,
19914140,Wisconsin Card Sorting Test performance and impulsivity in patients with temporal lobe epilepsy: suicidal risk and suicide attempts.,2010,Epilepsy & behavior : E&B,human,
19913058,Sensorimotor modulation of mood and depression: an integrative review.,2010,Behavioural brain research,review,
19912476,The medial amygdala modulates body weight but not neuroendocrine responses to chronic stress.,2010,Journal of neuroendocrinology,animal,
19912475,The role of oestradiol in sexually dimorphic hypothalamic-pituitary-adrena axis responses to intracerebroventricular ethanol administration in the rat.,2010,Journal of neuroendocrinology,animal,PMC2818645
19900553,Comorbidity between epilepsy and depression: role of hippocampal interleukin-1beta.,2010,Neurobiology of disease,animal,PMC2818460
20231322,How the neurocircuitry and genetics of fear inhibition may inform our understanding of PTSD.,2010,The American journal of psychiatry,review,PMC3603297
19896484,Chronic stress-mutated presenilin 1 gene interaction perturbs neurogenesis and accelerates neurodegeneration.,2010,Experimental neurology,animal,
19896142,"Psychopathological, biological, and neuroimaging characterization of posttraumatic stress disorder in survivors of a severe coalmining disaster in China.",2010,Journal of psychiatric research,human,
19890631,Reduced parahippocampal and lateral temporal GABAA-[11C]flumazenil binding in major depression: preliminary results.,2010,European journal of nuclear medicine and molecular imaging,human,
19880094,Site-specific antidepressant effects of repeated subconvulsive electrical stimulation: potential role of brain-derived neurotrophic factor.,2010,Biological psychiatry,animal,
19879712,Maternal social stress during late pregnancy affects hypothalamic-pituitary-adrenal function and brain neurotransmitter systems in pig offspring.,2010,Domestic animal endocrinology,animal,
19878138,Amygdala reduction in patients with ADHD compared with major depression and healthy volunteers.,2010,Acta psychiatrica Scandinavica,human,
19874870,Clinical and medial temporal features in a family with mood disorders.,2010,Neuroscience letters,human,
19859069,Mesenchymal stem cells increase hippocampal neurogenesis and counteract depressive-like behavior.,2010,Molecular psychiatry,animal,
19854625,Neuropeptide Y (NPY) gene: Impact on emotional processing and treatment response in anxious depression.,2010,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,human,
19837139,Ferulic acid induces neural progenitor cell proliferation in vitro and in vivo.,2010,Neuroscience,animal,
19837053,"Major depression, cognitive dysfunction and Alzheimer's disease: is there a link?",2010,European journal of pharmacology,review,
19914605,Nucleus accumbens deep brain stimulation decreases ratings of depression and anxiety in treatment-resistant depression.,2010,Biological psychiatry,human,
19921703,Imipramine treatment increases the number of hippocampal synapses and neurons in a genetic animal model of depression.,2010,Hippocampus,animal,
19929309,A reduced number of hippocampal granule cells does not associate with an anhedonia-like phenotype in a rat chronic mild stress model of depression.,2010,"Stress (Amsterdam, Netherlands)",animal,
19931308,Depression as an evolutionary adaptation: anatomical organisation around the third ventricle.,2010,Medical hypotheses,review,
20003989,Early-life stress and antidepressant treatment involve synaptic signaling and Erk kinases in a gene-environment model of depression.,2010,Journal of psychiatric research,animal,
19995868,Reduced hippocampal activity in youth with posttraumatic stress symptoms: an FMRI study.,2010,Journal of pediatric psychology,human,PMC2910941
19969016,Toluene inhibits hippocampal neurogenesis in adult mice.,2010,"Pharmacology, biochemistry, and behavior",animal,
19959343,Grey matter volume reductions in the emotion network of patients with depression and coronary artery disease.,2010,Psychiatry research,human,
19959342,Voxel-based analyses of gray/white matter volume and diffusion tensor data in major depression.,2010,Psychiatry research,human,
19956089,Rapid enhancement of glutamatergic neurotransmission in bipolar depression following treatment with riluzole.,2010,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC3055603
19954760,Neurochemical and behavioural effects of acute and chronic memantine administration in rats: Further support for NMDA as a new pharmacological target for the treatment of depression?,2010,Brain research bulletin,animal,
19945531,Effects of in utero exposure to Tityus bahiensis scorpion venom in adult rats.,2010,Neurotoxicology and teratology,animal,
19836143,Acute effects of hydrocortisone on the human brain: an fMRI study.,2010,Psychoneuroendocrinology,human,PMC2795004
19943124,"Adverse stress, hippocampal networks, and Alzheimer's disease.",2010,Neuromolecular medicine,review,PMC2833224
19941676,A systematic review of neurobiological and clinical features of mindfulness meditations.,2010,Psychological medicine,review,
19931855,Elevated amygdala activity to sad facial expressions: a state marker of bipolar but not unipolar depression.,2010,Biological psychiatry,human,PMC2854029
19931853,Metabolic alterations in the amygdala in borderline personality disorder: a proton magnetic resonance spectroscopy study.,2010,Biological psychiatry,human,
19931620,Structural and cognitive deficits in remitting and non-remitting recurrent depression: a voxel-based morphometric study.,2010,NeuroImage,human,
19931400,BDNF gene polymorphism (Val66Met) predicts amygdala and anterior hippocampus responses to emotional faces in anxious and depressed adolescents.,2010,NeuroImage,human,PMC2888869
19931399,Amygdala volume in depressed patients with bipolar disorder assessed using high resolution 3T MRI: the impact of medication.,2010,NeuroImage,human,PMC2818548
