drug_A,drug_B,target_A,target_B,pathway_A,pathway_B,interaction,evidence,organism,bliss_score,ref,cross_pathway,interaction_numeric,pathway_pair
CHIR-090,rifampicin,lpxC,rpoB,LPS,transcription,synergistic,in_vitro,E. coli,0.63,Erwin 2016,True,1,LPS_x_transcription
CHIR-090,ampicillin,lpxC,murA,LPS,peptidoglycan,synergistic,in_vitro,E. coli,0.55,Erwin 2016,True,1,LPS_x_peptidoglycan
fosmidomycin,rifampicin,dxr,rpoB,isoprenoid,transcription,synergistic,in_vitro,E. coli,0.4,Brochado 2018,True,1,isoprenoid_x_transcription
cerulenin,gentamicin,fabH,rpsA,fatty_acid,ribosome,additive,in_vitro,E. coli,0.06,Brochado 2018,True,0,fatty_acid_x_ribosome
acetyl-CoA_carboxylase_inh,ampicillin,accA,murA,fatty_acid,peptidoglycan,synergistic,in_vitro,E. coli,0.42,Yao 2012,True,1,fatty_acid_x_peptidoglycan
acetyl-CoA_carboxylase_inh,colistin,accA,lpxA,fatty_acid,LPS,synergistic,in_vitro,E. coli,0.5,Yao 2012,True,1,LPS_x_fatty_acid
sulfamethoxazole,gentamicin,folP,rpsA,folate,ribosome,additive,in_vitro,E. coli,0.07,Bollenbach 2009,True,0,folate_x_ribosome
novobiocin,ampicillin,gyrB,murA,DNA_topology,peptidoglycan,synergistic,in_vitro,E. coli,0.45,Brochado 2018,True,1,DNA_topology_x_peptidoglycan
walkmycin,ampicillin,walK,murA,signaling,peptidoglycan,synergistic,in_vitro,S. aureus,0.55,Okada 2010,True,1,peptidoglycan_x_signaling
compound_1,rifampicin,bamA,rpoB,outer_membrane,transcription,synergistic,in_vitro,E. coli,0.72,Hart 2019; Imai 2019,True,1,outer_membrane_x_transcription
chloramphenicol,ciprofloxacin,rplB,gyrA,ribosome,DNA_topology,antagonistic,in_vitro,E. coli,-0.35,Bollenbach 2009,True,-1,DNA_topology_x_ribosome
tetracycline,ciprofloxacin,rpsA,gyrA,ribosome,DNA_topology,antagonistic,in_vitro,E. coli,-0.3,Brochado 2018,True,-1,DNA_topology_x_ribosome
chloramphenicol,fosfomycin,rplB,murA,ribosome,peptidoglycan,antagonistic,in_vitro,E. coli,-0.4,Brochado 2018,True,-1,peptidoglycan_x_ribosome
erythromycin,ampicillin,rplB,murA,ribosome,peptidoglycan,antagonistic,in_vitro,E. coli,-0.42,Jawetz 1952; Brochado 2018,True,-1,peptidoglycan_x_ribosome
